date,description,amount,category
2024-01-05,SPOTIFY PREMIUM,-10.99,Entertainment
2024-01-08,NETFLIX.COM,-15.49,Entertainment
2024-01-10,AMAZON PRIME MEMBERSHIP,-14.99,Shopping
2024-01-12,CHEGG INC,-19.95,Education
2024-01-15,ADOBE CREATIVE CLOUD,-54.99,Software
2024-01-18,HULU LLC,-7.99,Entertainment
2024-01-20,TARGET STORE #1234,-45.67,Shopping
2024-01-22,CHIPOTLE MEXICAN,-12.34,Food
2024-01-25,PLANET FITNESS,-24.99,Fitness
2024-02-05,SPOTIFY PREMIUM,-10.99,Entertainment
2024-02-08,NETFLIX.COM,-15.49,Entertainment
2024-02-10,AMAZON PRIME MEMBERSHIP,-14.99,Shopping
2024-02-12,CHEGG INC,-19.95,Education
2024-02-15,ADOBE CREATIVE CLOUD,-54.99,Software
2024-02-18,DOORDASH DASHPASS,-9.99,Food
2024-02-20,WALMART GROCERY,-89.43,Shopping
2024-02-22,HEADSPACE APP,-12.99,Wellness
2024-02-25,PLANET FITNESS,-24.99,Fitness
2024-03-05,SPOTIFY PREMIUM,-10.99,Entertainment
2024-03-08,NETFLIX.COM,-15.49,Entertainment
2024-03-10,AMAZON PRIME MEMBERSHIP,-14.99,Shopping
2024-03-12,GRAMMARLY INC,-12.00,Productivity
2024-03-15,ADOBE CREATIVE CLOUD,-54.99,Software
2024-03-18,HULU LLC,-7.99,Entertainment
2024-03-20,SHELL GAS STATION,-42.50,Transportation
2024-03-22,UBER RIDE,-18.75,Transportation
2024-03-25,PLANET FITNESS,-24.99,Fitness
2024-04-05,SPOTIFY PREMIUM,-10.99,Entertainment
2024-04-08,NETFLIX.COM,-15.49,Entertainment
2024-04-10,DISNEY PLUS,-13.99,Entertainment
2024-04-12,CHEGG INC,-19.95,Education
2024-04-15,CANVA PRO,-12.99,Software
2024-04-18,HULU LLC,-7.99,Entertainment
2024-04-20,APPLE MUSIC,-10.99,Entertainment
2024-04-22,PARAMOUNT PLUS,-11.99,Entertainment
2024-04-25,PEACOCK PREMIUM,-5.99,Entertainment
